"id","is_user","name","email","email_verified_at","password","remember_token","created_at","updated_at","expertise","experience","firstname","lastname","about","profileImage","videoIntro","availableHours","availableDays","workPreference","workType","slug","address","roleLevel"
1,NULL,"Irene Richard","fosevoninu@mailinator.com",NULL,"$2y$10$8Re3kMpsEyfUNRcnlAHg/uwapjeljRkcgMPL0mvUo9MBhwMs0tKYG",NULL,"2022-10-29 00:26:52","2023-01-31 23:04:02","frontend",3,"Ian Wall","Vera Stanley","Lorem ipsum dolor sit amet consectetur adipisicing elit. Laboriosam molestiae rerum numquam officiis voluptas eum? Saepe repellat totam quae sunt voluptatum accusamus architecto tempore veniam beatae tenetur, earum eos tempora?Lorem ipsum dolor sit amet consectetur adipisicing elit. Laboriosam molestiae rerum numquam officiis voluptas eum? Saepe repellat totam quae sunt voluptatum accusamus architecto tempore veniam beatae tenetur, earum eos tempora?Lorem ipsum dolor sit amet consectetur adipisicing elit. Laboriosam molestiae rerum numquam officiis voluptas eum? Saepe repellat totam quae sunt voluptatum accusamus architecto tempore veniam beatae tenetur, earum eos tempora?",NULL,NULL,NULL,"Monday","onsite,wfh","temp","irenerichard","Kathmandu",NULL
2,NULL,"Reese Dean","wyzy@mailinator.com",NULL,"$2y$10$z1IEv00JnWlloayEcRl6qu1fVz/V2JP6QZOLeeB0Ner0tyep64NH2",NULL,"2022-10-29 01:20:17","2022-10-29 01:20:17","frontend",1,"john","doe","Lorem ipsum dolor sit amet consectetur adipisicing elit. Laboriosam molestiae rerum numquam officiis voluptas eum? Saepe repellat totam quae sunt voluptatum accusamus architecto tempore veniam beatae tenetur, earum eos tempora?",NULL,NULL,NULL,NULL,"onsite",NULL,"reesedean","Jhapa",NULL
3,NULL,"Harlan Watts","fabuqy@mailinator.com",NULL,"$2y$10$By0709JCyPYULgUVOM4l/uzEwILepevKgmtVE421v8fWSq/iY39EW","NjWOSDu5aDZUwGXOuWksJLy9uuXLgc2GOOXDc0hFc5UDq2pHiG98wcmOz9jY","2022-10-30 11:24:08","2022-10-30 11:24:08","backend",2,"jane","doe","Lorem ipsum dolor sit amet consectetur adipisicing elit. Laboriosam molestiae rerum numquam officiis voluptas eum? Saepe repellat totam quae sunt voluptatum accusamus architecto tempore veniam beatae tenetur, earum eos tempora?Lorem ipsum dolor sit amet consectetur adipisicing elit. Laboriosam molestiae rerum numquam officiis voluptas eum? Saepe repellat totam quae sunt voluptatum accusamus architecto tempore veniam beatae tenetur, earum eos tempora?Lorem ipsum dolor sit amet consectetur adipisicing elit. Laboriosam molestiae rerum numquam officiis voluptas eum? Saepe repellat totam quae sunt voluptatum accusamus architecto tempore veniam beatae tenetur, earum eos tempora?",NULL,NULL,NULL,NULL,"onsite",NULL,"harlanwatts","Ithari",NULL
4,NULL,"Jane Doe","jane@doe.com",NULL,"",NULL,NULL,NULL,NULL,3,"nick","watson",NULL,NULL,NULL,NULL,NULL,"wfh",NULL,"ds","Birathnagar",NULL
5,"talent","Christen Washington","tutaf@mailinator.com",NULL,"$2y$10$x.opRvOnLjqwI03F9DikqeLZk../Q3mLPLOv5EygypWRmcllQ9GZy","XxPQfatnfgZZh6NwODICsMPwCXSQcHbYa5gcI7ZNStWzBqOptFWE0sh8sjxs","2023-01-27 08:13:44","2023-03-24 08:27:49","developer",7,"Design","Ant","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed lacinia sapien et
                                    lacus molestie, sed malesuada mauris ultrices. Donec eget mauris eu nunc tristique
                                    bibendum in ac orci. Nunc consectetur nisi vel semper commodo. Nunc pharetra eros nec
                                    libero dictum, nec vulputate est scelerisque. Pellentesque habitant morbi tristique
                                    senectus et netus et malesuada fames ac turpis egestas. Sed eleifend, sapien in
                                    elementum faucibus, sapien urna porta risus, vitae venenatis metus nisi in felis. Nulla
                                    facilisi","https://laravbucket.s3.ap-southeast-2.amazonaws.com/images/qjEghScYdBfVxNJUcvAQniJDT9gxUpZ9SWsUQUdB.jpg",NULL,NULL,"Thursday,Friday,Tuesday","wfh,onsite","employee,temp,freelancer,intern","dfdf","Jhapa","Senior"
6,NULL,NULL,"fanivy@mailinator.com",NULL,"$2y$10$Gu0VCOrJq9urHj4JFYHy7eTm4MblrWzRCD7rvehn8kRgogS8JR9YW",NULL,"2023-02-07 23:32:42","2023-02-07 23:32:42",NULL,5,"Maisie","Romero",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kathmandu",NULL
7,NULL,NULL,"tydufu@mailinator.com",NULL,"$2y$10$e6fZuOk/6xRRw3UVhTeOmOhmI10tyUUAp5eB1U1dwitj5mvE45dc6",NULL,"2023-02-07 23:33:38","2023-02-07 23:33:38",NULL,6,"Rowan","Gilliam",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,NULL,NULL,"bywoson@mailinator.com",NULL,"$2y$10$H/aF4aqAyUsEXSWxtyd1/.0UVfQc03XgDtOy0QwBfgUUw9tmvex9K",NULL,"2023-02-07 23:37:26","2023-02-07 23:37:26",NULL,7,"Maite","Mathews",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,NULL,NULL,"gosaly@mailinator.com",NULL,"$2y$10$DBqyPC1OHgAKNlvnGo4Wvu.4PrJWQTiPDs.rLIcM6JO.rz3xQYuwG",NULL,"2023-02-07 23:38:11","2023-02-07 23:38:11",NULL,8,"Hilary","Hanson",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,NULL,NULL,"hefyfoku@mailinator.com",NULL,"$2y$10$x7qarNPmJxdjYubergVTau0gxacr37emOezIFFPIKgd0u4v1pM876",NULL,"2023-02-07 23:50:52","2023-02-07 23:50:52","backend",10,"Vivien","Stokes",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
